packet_size,flow_id,protocol,src_addr,src_port,dst_addr,dst_port,tx_bytes,rx_bytes,tx_packets,rx_packets,lost_packets,mean_delay_s,throughput_bps
128,1,UDP,10.1.1.1,49153,10.1.1.2,9,156,156,1,1,0,0.002252800,553977.27
128,2,UDP,10.1.1.2,9,10.1.1.1,49153,156,156,1,1,0,0.002252800,553977.27
256,1,UDP,10.1.1.1,49153,10.1.1.2,9,284,284,1,1,0,0.002457600,924479.17
256,2,UDP,10.1.1.2,9,10.1.1.1,49153,284,284,1,1,0,0.002457600,924479.17
512,1,UDP,10.1.1.1,49153,10.1.1.2,9,540,540,1,1,0,0.002867200,1506696.43
512,2,UDP,10.1.1.2,9,10.1.1.1,49153,540,540,1,1,0,0.002867200,1506696.43
1024,1,UDP,10.1.1.1,49153,10.1.1.2,9,1052,1052,1,1,0,0.003686400,2282986.11
1024,2,UDP,10.1.1.2,9,10.1.1.1,49153,1052,1052,1,1,0,0.003686400,2282986.11
2048,1,UDP,10.1.1.1,49153,10.1.1.2,9,2076,2076,1,1,0,0.005360000,3098507.46
2048,2,UDP,10.1.1.2,9,10.1.1.1,49153,2076,2076,1,1,0,0.005360000,3098507.46
